Query_ID,Tipo,K_ou_Raio,Tempo_ms,Paginas_Lidas,Recall,Resultados_Encontrados
74,kNN,5,8.06149,84,1,5
75,kNN,5,4.64443,21,1,5
76,kNN,5,5.15846,50,1,5
77,kNN,5,3.10667,22,1,5
78,kNN,5,8.16458,64,1,5
79,kNN,5,9.46528,72,1,5
80,kNN,5,8.69332,47,1,5
81,kNN,5,5.99417,51,1,5
82,kNN,5,6.65775,33,1,5
83,kNN,5,9.79586,58,1,5
84,kNN,5,3.26889,30,1,5
85,kNN,5,8.78968,128,1,5
86,kNN,5,2.37912,13,1,5
87,kNN,5,5.83971,49,1,5
88,kNN,5,5.18963,39,1,5
89,kNN,5,5.42183,35,1,5
90,kNN,5,5.42278,56,1,5
91,kNN,5,8.48539,56,1,5
92,kNN,5,9.6737,88,1,5
93,kNN,5,8.69494,62,1,5
94,kNN,5,2.27008,9,1,5
95,kNN,5,11.0778,66,1,5
96,kNN,5,9.09252,55,1,5
97,kNN,5,5.73457,55,1,5
98,kNN,5,1.37578,28,1,5
99,kNN,5,9.38939,38,1,5
0,Range,0.1,1017.11,7912,1,47953
1,Range,0.1,687.688,10985,1,64201
2,Range,0.1,2187.13,30370,1,158176
3,Range,0.1,100.538,24277,1,137115
4,Range,0.1,170.516,21083,1,74022
5,Range,0.1,141.469,22998,1,136745
6,Range,0.1,32.2866,8884,1,38084
7,Range,0.1,31.6382,8651,1,36892
8,Range,0.1,64.9991,15822,1,57508
9,Range,0.1,82.184,22579,1,128093
10,Range,0.1,18.4713,4674,1,30560
11,Range,0.1,99.4093,27597,1,87121
12,Range,0.1,108.693,30271,1,162068
13,Range,0.1,36.5568,10153,1,60907
14,Range,0.1,109.599,30637,1,163054
15,Range,0.1,35.3322,9669,1,55460
16,Range,0.1,40.5097,11034,1,59846
17,Range,0.1,101.952,28170,1,150715
18,Range,0.1,62.4749,17125,1,100582
19,Range,0.1,111.796,30969,1,170091
20,Range,0.1,103.792,28672,1,162087
21,Range,0.1,32.3054,8954,1,54110
22,Range,0.1,59.8438,16660,1,88109
23,Range,0.1,33.4548,9038,1,53108
24,Range,0.1,29.8336,8266,1,49794
25,Range,0.1,84.1138,23370,1,135411
26,Range,0.1,39.7113,10704,1,66775
27,Range,0.1,26.6538,7034,1,47194
28,Range,0.1,56.4334,14812,1,92392
29,Range,0.1,84.6474,23268,1,133576
30,Range,0.1,84.8989,23075,1,143212
31,Range,0.1,54.3078,14968,1,79561
32,Range,0.1,62.2174,17144,1,59187
33,Range,0.1,86.0107,23525,1,140511
34,Range,0.1,48.3104,13381,1,72719
35,Range,0.1,63.9106,17606,1,90288
36,Range,0.1,101.647,27231,1,127056
37,Range,0.1,35.0325,9066,1,54198
38,Range,0.1,87.0672,23288,1,123224
39,Range,0.1,115.123,31090,1,172431
40,Range,0.1,104.901,27915,1,164052
41,Range,0.1,103.249,27894,1,165631
42,Range,0.1,91.092,24138,1,147816
43,Range,0.1,115.169,31115,1,176568
44,Range,0.1,98.9895,26741,1,159795
45,Range,0.1,96.9892,26181,1,80273
46,Range,0.1,93.4439,25058,1,127064
47,Range,0.1,23.4945,6227,1,25233
48,Range,0.1,99.5429,25967,1,149031
49,Range,0.1,39.1938,10432,1,63855
50,Range,0.1,85.5595,23358,1,124977
51,Range,0.1,111.712,30090,1,174366
52,Range,0.1,89.7635,23894,1,134004
53,Range,0.1,69.5708,18846,1,106380
54,Range,0.1,110.482,29718,1,174983
55,Range,0.1,57.4005,15337,1,88786
56,Range,0.1,32.3603,8700,1,51358
57,Range,0.1,30.2296,8021,1,50957
58,Range,0.1,62.5662,16772,1,84520
