Query_ID,Tipo,K_ou_Raio,Tempo_ms,Paginas_Lidas,Recall,Resultados_Encontrados
39,Range,0.1,883.015,144421,1,117491
40,Range,0.1,882.889,143911,1,29372
41,Range,0.1,893.084,143514,1,111160
42,Range,0.1,791.576,130958,1,14409
43,Range,0.1,14.5339,1561,1,1
44,Range,0.1,570.979,98044,1,2805
45,Range,0.1,885.141,144509,1,21439
46,Range,0.1,876.754,143744,1,109732
47,Range,0.1,56.9885,8286,1,2864
48,Range,0.1,873.032,143379,1,128169
49,Range,0.1,884.598,144919,1,24962
50,Range,0.1,383.125,66244,1,1700
51,Range,0.1,321.427,53527,1,188
52,Range,0.1,649.48,116816,1,64
53,Range,0.1,853.731,141386,1,52509
54,Range,0.1,857.798,142689,1,13966
55,Range,0.1,884.245,143999,1,204685
56,Range,0.1,856.161,142230,1,1401
57,Range,0.1,871.694,142698,1,82907
58,Range,0.1,890.392,144888,1,55853
59,Range,0.1,887.947,144160,1,88384
60,Range,0.1,882.93,143755,1,75127
61,Range,0.1,884.571,144034,1,71608
62,Range,0.1,892.777,143797,1,19901
63,Range,0.1,717.743,122404,1,18623
64,Range,0.1,890.563,143786,1,159928
65,Range,0.1,214.04,33344,1,844
66,Range,0.1,893.41,143992,1,120636
67,Range,0.1,880.441,143456,1,140454
68,Range,0.1,711.358,119923,1,31025
69,Range,0.1,662.575,111920,1,18713
70,Range,0.1,583.793,99789,1,5886
71,Range,0.1,885.637,144050,1,25003
72,Range,0.1,863.389,141960,1,11379
73,Range,0.1,129.518,18946,1,1134
74,Range,0.1,896.399,144445,1,173527
75,Range,0.1,895.09,144081,1,10441
76,Range,0.1,867.892,141158,1,28694
77,Range,0.1,788.566,130978,1,4799
78,Range,0.1,913.985,144387,1,4747
79,Range,0.1,889.268,143677,1,46860
80,Range,0.1,3.77166,308,1,25
81,Range,0.1,451.203,74671,1,1484
82,Range,0.1,707.616,120094,1,23170
83,Range,0.1,12.0978,1518,1,510
84,Range,0.1,891.92,144000,1,17529
85,Range,0.1,882.996,143987,1,75237
86,Range,0.1,530.88,90243,1,8704
87,Range,0.1,900.206,144638,1,108216
88,Range,0.1,101.505,13882,1,218
89,Range,0.1,837.578,137677,1,45281
90,Range,0.1,126.899,19632,1,2090
91,Range,0.1,851.733,137544,1,22222
92,Range,0.1,891.905,144078,1,73610
93,Range,0.1,885.088,143932,1,50046
94,Range,0.1,745.734,125076,1,7508
95,Range,0.1,61.7432,9495,1,3138
96,Range,0.1,879.669,143695,1,61978
97,Range,0.1,900.413,145323,1,45208
98,Range,0.1,374.575,63014,1,12146
99,Range,0.1,302.844,49502,1,42
2
